JT,IF,ISSN
BIOMARK MED,2.851,1752-0363
DERMATOL THER,2.851,1396-0296
HUM IMMUNOL,2.85,0198-8859
SIAM J OPTIMIZ,2.85,1052-6234
ECOL PROCESS,2.849,****-****
J AEROSOL MED PULM D,2.849,1941-2711
J INTEGR AGR,2.848,2095-3119
MYCOL PROG,2.847,1617-416X
NEPHRON,2.847,1660-8151
PROCESSES,2.847,****-****
EUR J SOIL BIOL,2.846,1164-5563
IMMUNOGENETICS,2.846,0093-7711
CARDIOVASC DIAGN THE,2.845,2223-3652
MATTER RADIAT EXTREM,2.845,2468-2047
ANIM BEHAV,2.844,0003-3472
J PATIENT SAF,2.844,1549-8417
OBSTET GYN CLIN N AM,2.844,0889-8545
ECOHYDROLOGY,2.843,1936-0584
J ESTHET RESTOR DENT,2.843,1496-4155
J INVERTEBR PATHOL,2.841,0022-2011
RADIAT RES,2.841,0033-7587
GAIT POSTURE,2.84,0966-6362
CONTRIB ZOOL,2.839,1383-4517
J PEDIATR GASTR NUTR,2.839,0277-2116
BIOMED MICRODEVICES,2.838,1387-2176
PLANT BIOSYST,2.838,1126-3504
CURR PHARM BIOTECHNO,2.837,1389-2010
J LOW FREQ NOISE V A,2.837,1461-3484
BIOTECHNOL BIOPROC E,2.836,1226-8372
INT J BIFURCAT CHAOS,2.836,0218-1274
ZOOL LETT,2.836,2056-306X
BLOOD PRESSURE,2.835,0803-7051
INT NEUROUROL J,2.835,2093-4777
J BIOMOL NMR,2.835,0925-2738
J SCH NURS,2.835,1059-8405
ADV PHYS ORG CHEM,2.833,0065-3160
COMPLEXITY,2.833,1076-2787
PHYSIOL MEAS,2.833,0967-3334
SPORT BIOMECH,2.832,1476-3141
J NAT CONSERV,2.831,1617-1381
J VENOM ANIM TOXINS,2.831,****-****
GREEN PROCESS SYNTH,2.83,2191-9542
PREV CHRONIC DIS,2.83,1545-1151
SEX TRANSM DIS,2.83,0148-5717
IMMUNOL RES,2.829,0257-277X
J SYST SOFTWARE,2.829,0164-1212
J PHYS CHEM REF DATA,2.828,0047-2689
ASIA-PAC J OPHTHALMO,2.827,****-****
FOOT ANKLE INT,2.827,1071-1007
ALCOHOL ALCOHOLISM,2.826,0735-0414
INT J ENVIRON AN CH,2.826,0306-7319
ONCOL RES TREAT,2.825,2296-5270
MAR ECOL PROG SER,2.824,0171-8630
UNDERGR SPACE,2.824,2096-2754
BIOORG MED CHEM LETT,2.823,0960-894X
ECOTOXICOLOGY,2.823,0963-9292
GEN COMP ENDOCR,2.822,0016-6480
KNOWL INF SYST,2.822,0219-1377
EDUC PSYCHOL MEAS,2.821,0013-1644
J CLIN APHERESIS,2.821,0733-2459
PHYS STATUS SOLIDI-R,2.821,1862-6254
BIOMED ENG ONLINE,2.819,****-****
IMAGE VISION COMPUT,2.818,0262-8856
CHEM BIOL DRUG DES,2.817,1747-0277
IONICS,2.817,0947-7047
J HYDRAUL ENG,2.817,0733-9429
SLEEP BREATH,2.816,1520-9512
AUTOIMMUNITY,2.815,0891-6934
SCI MED FOOTBALL,2.815,2473-3938
BIOENERG RES,2.814,1939-1234
ARCH CLIN NEUROPSYCH,2.813,0887-6177
UTIL POLICY,2.812,0957-1787
ENERGY SUSTAIN SOC,2.811,2192-0567
J GEOPHYS RES-SPACE,2.811,2169-9380
IEEE POWER ENERGY M,2.81,1540-7977
BMC WOMENS HEALTH,2.809,****-****
EXP MECH,2.808,0014-4851
GEODERMA REG,2.807,2352-0094
IEEE T COMPUT AID D,2.807,0278-0070
BIOL SPORT,2.806,0860-021X
BEHAV GENET,2.805,0001-8244
ARCH ENVIRON CON TOX,2.804,0090-4341
EUR J PHYCOL,2.804,0967-0262
INT J ORAL MAX IMPL,2.804,0882-2786
NEURORADIOLOGY,2.804,0028-3940
SYST CONTROL LETT,2.804,0167-6911
ADV DIFFER EQU-NY,2.803,1687-1847
DIAGN MICR INFEC DIS,2.803,0732-8893
AM J MED GENET A,2.802,1552-4825
ORAL MAXIL SURG CLIN,2.802,1042-3699
CLIN EXP NEPHROL,2.801,1342-1751
BIOMICROFLUIDICS,2.8,****-****
ELECTRON J BIOTECHN,2.8,0717-3458
GEOMECH ENERGY ENVIR,2.8,2352-3808
GEOTHERM ENERGY,2.8,2195-9706
J APPL ELECTROCHEM,2.8,0021-891X
EUR J EMERG MED,2.799,0969-9546
BMC GENET,2.797,1471-2156
MOL GENET METAB REP,2.797,****-****
UPDATES SURG,2.797,2038-131X
BMC MED INFORM DECIS,2.796,****-****
FEMS YEAST RES,2.796,1567-1356
PHOTOMED LASER SURG,2.796,1549-5418
FISH PHYSIOL BIOCHEM,2.794,0920-1742
PHARMACOL RES PERSPE,2.794,2052-1707
ARCH RATION MECH AN,2.793,0003-9527
CHEM BIOL TECHNOL AG,2.792,****-****
ECOSYST HEALTH SUST,2.792,2096-4129
PUBLIC HEALTH REP,2.792,0033-3549
INT ANGIOL,2.789,0392-9590
INT J HEAT FLUID FL,2.789,0142-727X
INT J ORAL MAX SURG,2.789,0901-5027
J VOLCANOL GEOTH RES,2.789,0377-0273
TRANSGENIC RES,2.788,0962-8819
BOT STUD,2.787,****-****
FISH OCEANOGR,2.786,1054-6006
J FLOW CHEM,2.786,2062-249X
J MED FOOD,2.786,1096-620X
OPT SWITCH NETW,2.786,1573-4277
ENVIRON EARTH SCI,2.784,1866-6280
J PHYS CHEM A,2.781,1089-5639
J PHYSIOL SCI,2.781,1880-6546
AM J CARDIOL,2.778,0002-9149
ERGONOMICS,2.778,0014-0139
FOOD ENVIRON VIROL,2.778,1867-0334
MICROBIOL-SGM,2.777,1350-0872
SEPARATIONS,2.777,****-****
J ARTIF INTELL RES,2.776,1076-9757
ANDROLOGIA,2.775,0303-4569
FLUID PHASE EQUILIBR,2.775,0378-3812
SCI PROGRESS-UK,2.774,0036-8504
APHASIOLOGY,2.773,0268-7038
BMC ZOOL,2.773,****-****
INT J WOMENS HEALTH,2.773,1179-1411
MEM AM MATH SOC,2.773,0065-9266
ETHNIC HEALTH,2.772,1355-7858
SPINAL CORD,2.772,1362-4393
AQUAT CONSERV,2.771,1052-7613
HUM DIMENS WILDL,2.771,1087-1209
CHINESE J AERONAUT,2.769,1000-9361
EARTH INTERACT,2.769,****-****
HOLOCENE,2.769,0959-6836
INSECTS,2.769,****-****
J ANAL SCI TECHNOL,2.769,2093-3134
MICROSC RES TECHNIQ,2.769,1059-910X
ASIAN J SURG,2.767,1015-9584
HUM FERTIL,2.767,1464-7273
J FISH DIS,2.767,0140-7775
LIGHTING RES TECHNOL,2.767,1477-1535
FRONT MATER SCI,2.765,2095-025X
FIRE SAFETY J,2.764,0379-7112
WORLD J PEDIATR,2.764,1708-8569
BMC ENDOCR DISORD,2.763,****-****
FRONT INTEGR NEUROSC,2.763,1662-5145
NONLINEAR ANAL-REAL,2.763,1468-1218
CEREBROVASC DIS,2.762,1015-9770
INT J GYNECOL PATHOL,2.762,0277-1691
OPTIM ENG,2.76,1389-4420
NUCL PHYS B,2.759,0550-3213
YONSEI MED J,2.759,0513-5796
BMC ORAL HEALTH,2.757,1472-6831
J KNEE SURG,2.757,1538-8506
J THERM SPRAY TECHN,2.757,1059-9630
MULTIMED TOOLS APPL,2.757,1380-7501
ACTA METALL SIN-ENGL,2.755,1006-7191
SEMIN PEDIATR SURG,2.754,1055-8586
WORLD J SURG ONCOL,2.754,****-****
ANIMALS-BASEL,2.752,2076-2615
J PROSTHODONT,2.752,1059-941X
J ENVIRON QUAL,2.751,0047-2425
ANN APPL BIOL,2.75,0003-4746
CLIN TRANSL IMAGING,2.75,2281-5872
J PHARM INNOV,2.75,1872-5120
J PLAST FILM SHEET,2.75,8756-0879
J ROY SOC NEW ZEAL,2.75,0303-6758
PROG ORTHOD,2.75,2196-1042
INT ARCH ALLERGY IMM,2.749,1018-2438
FUND CLIN PHARMACOL,2.748,0767-3981
INT J NUMER METH BIO,2.747,2040-7939
INT J SYST EVOL MICR,2.747,1466-5026
PHYSIOL MOL PLANT P,2.747,0885-5765
WEATHER CLIM SOC,2.746,1948-8327
J PHARMACOKINET PHAR,2.745,1567-567X
MED CHEM,2.745,1573-4064
AQUAT SCI,2.744,1015-1621
BURNS,2.744,0305-4179
KAOHSIUNG J MED SCI,2.744,1607-551X
PHOTOGRAMM REC,2.744,0031-868X
S AFR J HIV MED,2.744,1608-9693
J CHIN MED ASSOC,2.743,1726-4901
MEM I OSWALDO CRUZ,2.743,0074-0276
CLIN EXP OPTOM,2.742,0816-4622
FEMS MICROBIOL LETT,2.742,0378-1097
BMC VET RES,2.741,****-****
STARCH-STARKE,2.741,0038-9056
SURG CLIN N AM,2.741,0039-6109
CARDIOVASC INTER RAD,2.74,0174-1551
EMERG MED J,2.74,1472-0205
J PLAST RECONSTR AES,2.74,1748-6815
THERIOGENOLOGY,2.74,0093-691X
MED VET ENTOMOL,2.739,0269-283X
FIRE ECOL,2.738,1933-9747
J QUATERNARY SCI,2.738,0267-8179
VET PARASITOL,2.738,0304-4017
AUST CRIT CARE,2.737,1036-7314
CARDIOL J,2.737,1897-5593
EUR CYTOKINE NETW,2.737,****-****
INT J DERMATOL,2.736,0011-9059
J ETHNOBIOL ETHNOMED,2.733,****-****
DEEP-SEA RES PT II,2.732,0967-0645
EARLY INTERV PSYCHIA,2.732,1751-7885
B AM MATH SOC,2.731,0273-0979
ANN PHYS-NEW YORK,2.73,0003-4916
GERIATR GERONTOL INT,2.73,1444-1586
IMMUNOPHARM IMMUNOT,2.73,0892-3973
INFORM SOFTWARE TECH,2.73,0950-5849
WIND ENERGY,2.73,1095-4244
INT J FOOD PROP,2.727,1094-2912
ORTHOP J SPORTS MED,2.727,****-****
PAEDIATR RESPIR REV,2.726,1526-0542
IEEE T ULTRASON FERR,2.725,0885-3010
ASTROPART PHYS,2.724,0927-6505
INHAL TOXICOL,2.724,0895-8378
J RADIAT RES,2.724,0449-3060
CONFL HEALTH,2.723,1752-1505
J FOOD BIOCHEM,2.72,0145-8884
QUATERNARY RES,2.72,0033-5894
CURR VASC PHARMACOL,2.719,1570-1611
FRONT SURG,2.718,2296-875X
EVOL ECOL,2.717,0269-7653
WORLD WIDE WEB,2.716,1386-145X
IEEE MICROW MAG,2.714,1527-3342
J NEUROPHYSIOL,2.714,0022-3077
ACM T KNOWL DISCOV D,2.713,1556-4681
ELECTROCATALYSIS-US,2.713,1868-2529
SYMMETRY-BASEL,2.713,****-****
WEED SCI,2.713,0043-1745
J BIOMECH,2.712,0021-9290
PHYS CHEM EARTH,2.712,1474-7065
PATIENT PREFER ADHER,2.711,1177-889X
PLANT CELL TISS ORG,2.711,0167-6857
J HEAD TRAUMA REHAB,2.71,0885-9701
FRONT ENERGY,2.709,2095-1701
J MAPS,2.709,1744-5647
BRAIN BEHAV,2.708,2162-3279
EUR J MED GENET,2.708,1769-7212
J OCCUP HEALTH,2.708,1341-9145
EUR PHYS J-SPEC TOP,2.707,1951-6355
SAF HEALTH WORK-KR,2.707,2093-7911
CURR OPIN ANESTHESIO,2.706,0952-7907
SEX HEALTH,2.706,1448-5028
FOOT ANKLE SURG,2.705,1268-7731
PARKINSONS DIS-US,2.704,2090-8083
P ROY SOC A-MATH PHY,2.704,1364-5021
ALZ DIS ASSOC DIS,2.703,0893-0341
OPER NEUROSURG,2.703,2332-4252
J POLYM SCI POL CHEM,2.702,0887-624X
ZOONOSES PUBLIC HLTH,2.702,1863-1959
J FOOD SCI TECH MYS,2.701,0022-1155
J GEOL,2.701,0022-1376
MICROBES INFECT,2.7,1286-4579
IRAN J BASIC MED SCI,2.699,2008-3866
ACTA MECH,2.698,0001-5970
ANN ANAT,2.698,0940-9602
J APPL ORAL SCI,2.698,1678-7757
J MUSCLE RES CELL M,2.698,0142-4319
INT J COAL PREP UTIL,2.697,1939-2699
REV BRAS PSIQUIATR,2.697,****-****
J COSMET DERMATOL-US,2.696,1473-2130
J ELECTROMAGN ENG SC,2.696,2671-7255
MYCOLOGIA,2.696,0027-5514
NEUROUROL URODYNAM,2.696,0733-2467
MOL BIOTECHNOL,2.695,1073-6085
VET REC,2.695,0042-4900
HYDROBIOLOGIA,2.694,0018-8158
INT J RADIAT BIOL,2.694,0955-3002
ISLETS,2.694,1938-2014
J CHEM ENG DATA,2.694,0021-9568
FEBS OPEN BIO,2.693,2211-5463
MAR GEOPHYS RES,2.693,0025-3235
ORYX,2.693,0030-6053
BMJ OPEN,2.692,2044-6055
CATHETER CARDIO INTE,2.692,1522-1946
DENDROCHRONOLOGIA,2.691,1125-7865
EXP BIOL MED,2.691,1535-3702
J THEOR BIOL,2.691,0022-5193
AM J HYPERTENS,2.689,0895-7061
ULTRAMICROSCOPY,2.689,0304-3991
AM J THER,2.688,1075-2765
AUST J GRAPE WINE R,2.688,1322-7130
BASIC CLIN ANDROL,2.688,****-****
CHINA COMMUN,2.688,1673-5447
INFORMATICA-LITHUAN,2.688,0868-4952
J DIFFER GEOM,2.688,0022-040X
J HAND SURG-EUR VOL,2.688,1753-1934
J TAIBAH UNIV SCI,2.688,1658-3655
VET J,2.688,1090-0233
IEEE T PARALL DISTR,2.687,1045-9219
J ASSOC INF SCI TECH,2.687,2330-1635
KIDNEY BLOOD PRESS R,2.687,1420-4096
ATMOSPHERE-BASEL,2.686,****-****
INT J LEGAL MED,2.686,0937-9827
J VEG SCI,2.685,1100-9233
PHYS MEDICA,2.685,1120-1797
GEOINFORMATICA,2.684,1384-6175
COMPUTER,2.683,0018-9162
HASTINGS CENT REP,2.683,0093-0334
J MOV DISORD,2.683,2005-940X
J BIONIC ENG,2.682,1672-6529
J HEALTHC ENG,2.682,2040-2295
BIOANALYSIS,2.681,1757-6180
BIOTECHNOL PROGR,2.681,8756-7938
HEALTH INFORM J,2.681,1460-4582
IISE TRANS,2.681,2472-5854
J WOMENS HEALTH,2.681,1540-9996
GEOHERITAGE,2.68,1867-2477
INNATE IMMUN-LONDON,2.68,1753-4259
J GERIATR PSYCH NEUR,2.68,0891-9887
J SULFUR CHEM,2.68,1741-5993
APPL SCI-BASEL,2.679,****-****
EUR J LIPID SCI TECH,2.679,1438-7697
ENG LIFE SCI,2.678,1618-0240
J VIS COMMUN IMAGE R,2.678,1047-3203
FORENSIC CHEM,2.676,2468-1709
GENES IMMUN,2.676,1466-4879
PHOTONICS-BASEL,2.676,****-****
ACM T SOFTW ENG METH,2.674,1049-331X
COMP BIOCHEM PHYS D,2.674,1744-117X
INT J PARASITOL-PAR,2.674,2213-2244
J ENVIRON RADIOACTIV,2.674,0265-931X
J MAMMARY GLAND BIOL,2.673,1083-3021
MAR GEORESOUR GEOTEC,2.673,1064-119X
ACTA CARDIOL SIN,2.672,1011-6842
BEHAV ECOL,2.671,1045-2249
GROUNDWATER,2.671,0017-467X
J OCUL PHARMACOL TH,2.671,1080-7683
SOL PHYS,2.671,0038-0938
J NON-NEWTON FLUID,2.67,0377-0257
PREV VET MED,2.67,0167-5877
RHEUM DIS CLIN N AM,2.67,0889-857X
SILICON-NETH,2.67,1876-990X
ACTA CHIM SINICA,2.668,0567-7351
ANN NUCL MED,2.668,0914-7187
STEROIDS,2.668,0039-128X
ARTIF INTELL LAW,2.667,0924-8463
MATH FINANC,2.667,0960-1627
APPL PHYSIOL NUTR ME,2.665,1715-5312
IEEE T COMPUT,2.663,0018-9340
MANAG BIOL INVASION,2.663,1989-8649
WATER INT,2.663,0250-8060
NEUROGENETICS,2.66,1364-6745
CLIN MED,2.659,1470-2118
INT J BIOL MARKER,2.659,0393-6155
BIOMARKERS,2.658,1354-750X
DOSE-RESPONSE,2.658,1559-3258
SUPERLATTICE MICROST,2.658,0749-6036
J AM BOARD FAM MED,2.657,1557-2625
RENEW AGR FOOD SYST,2.657,1742-1705
INT J IND ERGONOM,2.656,0169-8141
J EXP ZOOL PART B,2.656,1552-5007
ADV COMPUT,2.655,0065-2458
BMC HEALTH SERV RES,2.655,****-****
RES ENG DES,2.655,0934-9839
INTEGR ZOOL,2.654,1749-4877
PHYS LETT A,2.654,0375-9601
BMC MED ETHICS,2.652,1472-6939
GRANUL MATTER,2.652,1434-5021
CORNEA,2.651,0277-3740
EVAL HEALTH PROF,2.651,0163-2787
AM J ORTHOD DENTOFAC,2.65,0889-5406
DES MONOMERS POLYM,2.65,1385-772X
FRONT NEUROROBOTICS,2.65,1662-5218
J ANTIBIOT,2.649,0021-8820
MED SCI MONITOR,2.649,1643-3750
UROLOGY,2.649,0090-4295
BUILDINGS-BASEL,2.648,****-****
J SOLID STATE ELECTR,2.647,1432-8488
J BIOMATER APPL,2.646,0885-3282
J INTELL ROBOT SYST,2.646,0921-0296
J OCCUP MED TOXICOL,2.646,1745-6673
HEALTHCARE-BASEL,2.645,****-****
J HERED,2.645,0022-1503
CARDIOL REV,2.644,1061-5377
DIAGN PATHOL,2.644,****-****
MINERALS-BASEL,2.644,****-****
J NEUROVIROL,2.643,1355-0284
J STORED PROD RES,2.643,0022-474X
INT J POLYM SCI,2.642,1687-9422
IET POWER ELECTRON,2.641,1755-4535
CURR OPIN ORGAN TRAN,2.64,1087-2418
GLOBAL HEALTH ACTION,2.64,****-****
APPL ACOUST,2.639,0003-682X
INFRARED PHYS TECHN,2.638,1350-4495
ITAL J PEDIATR,2.638,1720-8424
T EMERG TELECOMMUN T,2.638,2161-3915
AM J HEALTH-SYST PH,2.637,1079-2082
STATA J,2.637,1536-867X
ADV BIOCHEM ENG BIOT,2.635,0724-6145
LIMNOL OCEANOGR-METH,2.634,1541-5856
ODONTOLOGY,2.634,1618-1247
ARCH ORAL BIOL,2.633,0003-9969
FORESTS,2.633,****-****
J BUILD PHYS,2.633,1744-2591
RHEUMATOL INT,2.631,0172-8172
DIAGN INTERV RADIOL,2.63,****-****
GRASS FORAGE SCI,2.63,0142-5242
J WOOD CHEM TECHNOL,2.63,0277-3813
EVID-BASED COMPL ALT,2.629,1741-427X
J PLANT RES,2.629,0918-9440
OSTOMY WOUND MANAG,2.629,0889-5899
CHINESE MED J-PEKING,2.628,0366-6999
J CARDIOTHOR VASC AN,2.628,1053-0770
MICROCIRCULATION,2.628,1073-9688
RHEOL ACTA,2.627,0035-4511
IT PROF,2.626,1520-9202
J BONE MINER METAB,2.626,0914-8779
J CHEM ECOL,2.626,0098-0331
REV INORG CHEM,2.625,0193-4929
CURR ZOOL,2.624,1674-5507
J BRAS PNEUMOL,2.624,1806-3713
ATOM DATA NUCL DATA,2.623,0092-640X
ACCOUNT RES,2.622,0898-9621
ADV EXP MED BIOL,2.622,0065-2598
KOREAN J FOOD SCI AN,2.622,1225-8563
TROP MED INT HEALTH,2.622,1360-2276
J COMPUT APPL MATH,2.621,0377-0427
J ENG MECH,2.62,0733-9399
CLIN GERONTOLOGIST,2.619,0731-7115
ARCH OSTEOPOROS,2.617,1862-3522
EUR J FOREST RES,2.617,1612-4669
J CLIN DENSITOM,2.617,1094-6950
J SYNCHROTRON RADIAT,2.616,0909-0495
ANIM HEALTH RES REV,2.615,1466-2523
BLOOD PURIFICAT,2.614,0253-5068
J PERIODONTAL IMPLAN,2.614,2093-2278
VET COMP ONCOL,2.613,1476-5810
EUR J ORAL SCI,2.612,0909-8836
J MAMM EVOL,2.611,1064-7554
J MOL HISTOL,2.611,1567-2379
SCAND J OCCUP THER,2.611,1103-8128
BMC CHEM,2.61,****-****
J ANAT,2.61,0021-8782
P I MECH ENG B-J ENG,2.61,0954-4054
MOL REPROD DEV,2.609,1040-452X
J INTERF CYTOK RES,2.607,1079-9907
REV NEUROL-FRANCE,2.607,0035-3787
FRONT HORM RES,2.606,0301-3073
PLANT ECOL DIVERS,2.606,1755-0874
RENAL FAILURE,2.606,0886-022X
INT J POLYM MATER PO,2.604,0091-4037
J APPL BIOMATER FUNC,2.604,****-****
FLEX SERV MANUF J,2.603,1936-6582
INT J OBSTET ANESTH,2.603,0959-289X
J APPL ENTOMOL,2.603,0931-2048
MED BIOL ENG COMPUT,2.602,0140-0118
WIREL NETW,2.602,1022-0038
ASIA-PAC J CLIN ONCO,2.601,1743-7555
IMA J NUMER ANAL,2.601,0272-4979
VISUAL COMPUT,2.601,0178-2789
ARCHIT ENG DES MANAG,2.6,1745-2007
TOB INDUC DIS,2.6,1617-9625
WILDLIFE MONOGR,2.6,0084-0173
CLIN OTOLARYNGOL,2.597,1749-4478
EUR J OPHTHALMOL,2.597,1120-6721
ANN PALLIAT MED,2.595,2224-5820
CAN J FISH AQUAT SCI,2.595,0706-652X
DRUGS R&D,2.594,1174-5886
IEEE ANTENN PROPAG M,2.593,1045-9243
CANCER NURS,2.592,0162-220X
J SCI COMPUT,2.592,0885-7474
J COMPOS MATER,2.591,0021-9983
BRAZ J MED BIOL RES,2.59,0100-879X
J HYDRODYN,2.59,1001-6058
PLANT PATHOL,2.59,0032-0862
ARCH PUBLIC HEALTH,2.589,0778-7367
CRYSTALS,2.589,2073-4352
LYMPHAT RES BIOL,2.589,1539-6851
MOL BREEDING,2.589,1380-3743
OR SURG OR MED OR PA,2.589,2212-4403
TRAIT SIGNAL,2.589,0765-0019
DIGEST SURG,2.588,0253-4886
IET BIOMETRICS,2.588,2047-4938
J ENG DESIGN,2.588,0954-4828
ALLERGY ASTHMA PROC,2.587,1088-5412
BOREAS,2.587,0300-9483
EXPERT SYST,2.587,0266-4720
FETAL DIAGN THER,2.587,1015-3837
INJURY,2.586,0020-1383
AGR ECON-BLACKWELL,2.585,0169-5150
TURK J AGRIC FOR,2.585,1300-011X
APPL PHYS A-MATER,2.584,0947-8396
J APICULT RES,2.584,0021-8839
LUNG,2.584,0341-2040
ANN FOREST SCI,2.583,1286-4560
INT J POLYM ANAL CH,2.583,1023-666X
INVERTEBR SYST,2.583,1445-5226
MED DECIS MAKING,2.583,0272-989X
PHYS BIOL,2.583,1478-3967
REMOTE SENS LETT,2.583,2150-704X
CLIN PSYCHOPHARM NEU,2.582,1738-1088
J STUD ALCOHOL DRUGS,2.582,1937-1888
WORLD J GASTRO SURG,2.582,1948-9366
CHANNELS,2.581,1933-6950
SCAND J PRIM HEALTH,2.581,0281-3432
CURR MED RES OPIN,2.58,0300-7995
INT J ARCHIT HERIT,2.58,1558-3058
PATTERN ANAL APPL,2.58,1433-7541
J ALTERN COMPLEM MED,2.579,1075-5535
ANAL PDE,2.576,1948-206X
FLAVOUR FRAG J,2.576,0882-5734
J CHILD ADOL PSYCHOP,2.576,1044-5463
MATH GEOSCI,2.576,1874-8961
MEDITERR J HEMATOL I,2.576,****-****
NEOPLASMA,2.575,0028-2685
ARCH VIROL,2.574,0304-8608
ENERG EFFIC,2.574,1570-646X
MYCOPATHOLOGIA,2.574,0301-486X
COLLEGIAN,2.573,1322-7696
MAR BIOL,2.573,0025-3162
PROG THEOR EXP PHYS,2.572,2050-3911
BIOMETRICS,2.571,0006-341X
CROP PROT,2.571,0261-2194
INT J COLORECTAL DIS,2.571,0179-1958
J ORG COMP ELECT COM,2.571,1091-9392
CLIN RESPIR J,2.57,1752-6981
IEEE T NANOTECHNOL,2.57,1536-125X
NEUROPSYCH DIS TREAT,2.57,****-****
ARCHAEOL PROSPECT,2.569,1075-2196
J INTEL MAT SYST STR,2.569,1045-389X
IET ELECTR POWER APP,2.568,1751-8660
J HYDRAUL RES,2.568,0022-1686
EUR J GASTROEN HEPAT,2.566,0954-691X
J SYST PALAEONTOL,2.566,1477-2019
MRS COMMUN,2.566,2159-6859
PROTIST,2.566,1434-4610
AM J SURG,2.565,0002-9610
CURR DRUG DELIV,2.565,1567-2018
BMC BIOTECHNOL,2.563,****-****
MIT TECHNOL REV,2.563,1099-274X
OFIOLITI,2.563,0391-2612
OZONE-SCI ENG,2.562,0191-9512
SYNAPSE,2.562,0887-4476
APPL HEALTH ECON HEA,2.561,1175-5652
NEW FOREST,2.56,0169-4286
STAT COMPUT,2.559,0960-3174
INT J STRUCT STAB DY,2.558,0219-4554
CLIN EXP PHARMACOL P,2.557,0305-1870
METALL MATER TRANS A,2.556,1073-5623
PEDIATR ANESTH,2.556,1155-5645
DISABIL HEALTH J,2.554,1936-6574
J EXP ZOOL PART A,2.553,2471-5638
WOOD MATER SCI ENG,2.553,1748-0272
ARCH MICROBIOL,2.552,0302-8933
ENVIRON FLUID MECH,2.551,1567-7419
AGROFOREST SYST,2.549,0167-4366
SURG TODAY,2.549,0941-1291
INT J EVID-BASED HEA,2.548,****-****
INT J MED ROBOT COMP,2.547,1478-5951
PHARMACOLOGY,2.547,0031-7012
J APPL PHYS,2.546,0021-8979
MAGN RESON IMAGING,2.546,0730-725X
INDIAN J DERMATOL VE,2.545,0378-6323
INORG CHIM ACTA,2.545,0020-1693
J PEDIATR SURG,2.545,0022-3468
CHEMOTHERAPY,2.544,0009-3157
CLIN CHILD PSYCHOL P,2.544,1359-1045
J MARINE SYST,2.542,0924-7963
ASIA-PAC PSYCHIAT,2.538,1758-5864
CONSERV GENET,2.538,1566-0621
J FLUENCY DISORD,2.538,0094-730X
NETW SPAT ECON,2.538,1566-113X
ADV CALC VAR,2.537,1864-8258
INT J GASTRON FOOD S,2.537,1878-450X
J GENET COUNS,2.537,1059-7700
PHYS REV FLUIDS,2.537,2469-990X
FACETS,2.535,2371-1671
PATHOL INT,2.534,1320-5463
RES VET SCI,2.534,0034-5288
J BUON,2.533,1107-0625
J INVEST SURG,2.533,0894-1939
PHARMACOGENOMICS,2.533,1462-2416
OPT FIBER TECHNOL,2.53,1068-5200
OPTIM CONTR APPL MET,2.53,0143-2087
AGR ENV LETT,2.529,****-****
MICROFLUID NANOFLUID,2.529,1613-4982
PHYS REV E,2.529,2470-0045
TREES-STRUCT FUNCT,2.529,0931-1890
PLANT DIVERSITY,2.528,2096-2703
J TOXICOL ENV HEAL A,2.527,1528-7394
MACROMOL CHEM PHYS,2.527,1022-1352
ENTROPY-SWITZ,2.524,****-****
EUR J INORG CHEM,2.524,1434-1948
CANCER GENET-NY,2.523,2210-7762
INT J EARTH SCI,2.523,1437-3254
MICROELECTRON ENG,2.523,0167-9317
BIODATA MIN,2.522,1756-0381
BIOL RES NURS,2.522,1099-8004
EMPIR SOFTW ENG,2.522,1382-3256
SYST REV-LONDON,2.522,****-****
J PERINATOL,2.521,0743-8346
EUR J CANCER CARE,2.52,0961-5423
MUSCULOSKEL SCI PRAC,2.52,2468-7812
WATER AIR SOIL POLL,2.52,0049-6979
J PALAEOGEOG-ENGLISH,2.519,2095-3836
BRIT FOOD J,2.518,0007-070X
J MOL GRAPH MODEL,2.518,1093-3263
B VOLCANOL,2.517,0258-8900
HERIT SCI,2.517,2050-7445
IBIS,2.517,0019-1019
EUR J ENVIRON CIV EN,2.516,1964-8189
J OPTICS-UK,2.516,2040-8978
J ASTHMA,2.515,0277-0903
MYRMECOL NEWS,2.514,1994-4136
ENVIRON MONIT ASSESS,2.513,0167-6369
GEN RELAT GRAVIT,2.513,0001-7701
SOLVENT EXTR ION EXC,2.513,0736-6299
INT DENT J,2.512,0020-6539
J CLIN PHARM THER,2.512,0269-4727
J HYDROL HYDROMECH,2.512,****-****
J ORTHOP TRAUMA,2.512,0890-5339
J WORLD AQUACULT SOC,2.512,0893-8849
PERS MED,2.512,1741-0541
GROWTH FACTORS,2.511,0897-7194
WILDLIFE RES,2.511,1035-3712
AGR FOREST ENTOMOL,2.509,1461-9555
ASIAN AUSTRAL J ANIM,2.509,1011-2367
ASIA-PAC J ONCOL NUR,2.509,2347-5625
NEUROSURG CLIN N AM,2.509,1042-3680
BIOTROPICA,2.508,0006-3606
CHILD CARE HLTH DEV,2.508,0305-1862
ENVIRON ENG RES,2.507,1226-1025
VIB SPECTROSC,2.507,0924-2031
CANCER CAUSE CONTROL,2.506,0957-5243
GAIA,2.506,0940-5550
J CHEM-NY,2.506,2090-9063
NEPHROLOGY,2.506,1320-5358
