"issn","jfull","jabbr","impact"
"0168-6860","Het Hormoon","Hormoon",NA
"0365-7183","Acta scientia Sinica = Chung-kuo k'o hsueh","Acta Sci Sin",NA
"0084-5280","Zeitschrift fur angewandte Bader- und Klimaheilkunde","Z Angew Bader Klimaheilkd",NA
"0341-0110","Apotheker und Kunst","Apoth Kunst",NA
"0023-7213","Laeknabladid","Laeknabladid",0.548
"1670-4959","Laeknabladid","Laeknabladid",NA
"0025-9470","Mens en onderneming","Mens Ondernem",NA
"0025-8504","Medizinische Technik","Med Tech (Stuttg)",NA
"1614-0397","Krankengymnastik","Krankengymnastik",NA
"0378-8628","Dirim","Dirim",NA
"0125-1678","Journal of public health","J Public Health (Bangkok)",NA
"0344-631X","Arztliche Sammelblatter","Arztl Sammelbl",NA
"0377-922X","Arquivos portugueses de oftalmologia","Arq Port Oftalmol",NA
"0523-624X","Biochemical clinics","Biochem Clin",NA
"0042-5036","Viata medicala","Viata Med",NA
"0376-6209","Boletin cultural e informativo - Consejo General de Colegios Medicos de Espana","Bol Cult Inf Cons Gen Col Med Esp",NA
"0017-9248","The Heart bulletin","Heart Bull",NA
"0012-6683","Drugs made in Germany","Drugs Made Ger",NA
"0515-9296","Uchenye zapiski Instituta farmakologii i khimioterapii AMN SSSR","Uch Zap Inst Farmakol Khimioter AMN SSSR",NA
"0375-1228","Revista oto-neuro-oftalmologica y cirugia neurologica sudamericana","Rev Oto Neuro Oftalmol Cir Neurol Sud Am",NA
"0037-4121","Shonika. Pediatrics of Japan","Shonika",NA
"0082-4925","Topical problems of psychotherapy","Top Probl Psychother",NA
"0301-2409","Trudy Moskovskogo nauchno-issledovatel'skogo instituta epidemiologii i mikrobiologii","Tr Mosk Nauchnoissled Inst Epidmiol Mikrobiol",NA
"0041-8307","Revista de la Facultad de Farmacia, Universidad Central de Venezuela","Rev Fac Farm Univ Cent Venez",NA
"0302-7406","Publicaciones del Instituto Antituberculoso ""Francisco Moragas"" de la Caja de Pensiones para la Vejez y de Ahorros","Publ Inst Antitubers Francisco Moragas",NA
"0440-8152","Journal of the Hillside Hospital","J Hillside Hosp",NA
"0568-5168","Izvestiia Akademii nauk Kirgizskoi SSR. Seriia biologicheskikh nauk","Izv Akad Nauk Kirg Ssr Biol",NA
"0551-7516","Bulletin de la Societe des amis des sciences et des lettres de Poznan. Seria C: Medecine","Bull Soc Amis Sci (Med) (Poznan)",NA
"0037-8623","Boletin de la Sociedad Quimica del Peru","Bol Soc Quim Peru",NA
"0037-8526","Boletines de la Sociedad de Cirugia de Rosario","Bol Soc Cir Rosario",NA
"0365-2270","Annali della Facolta di medicina e chirurgia della Universita degli studi di Perugia","Ann Fac Med Chir Univ Studi Perugia",NA
"0365-7051","Archivos de la Sociedad Oftalmologica Hispano-Americana","Archivos Soc Oftalmol Hisp Am",NA
"0068-9408","Transactions of the Canadian Ophthalmological Society","Trans Can Opthalmolog Soc",NA
"0301-3790","Revista del Hospital del Nino","Rev Hosp Nino (Lima)",NA
"0073-9855","Revista do Instituto Adolfo Lutz","Rev Inst Adolfo Lutz",NA
"0004-525X","Revista da Associacao Medica de Minas Gerais","Rev Assoc Med Minas Gerais",NA
"0004-5268","Revista da Associacao Medica do Rio Grande do Sul","Rev Assoc Med Rio Grande Do Sul",NA
"0376-0162","Psychopharmacology Service Center bulletin","Psychopharmacol Serv Cent Bull",NA
"0576-8039","Carney Hospital journal","Carney Hosp J",NA
"0523-0667","Annales scientifiques de l'Universite de Besancon. Medecine","Ann Sci Univ Besancon Med",NA
"0038-9005","Stadtehygiene","Stadtehygiene",NA
"0516-3285","The Bulletin of Akron City Hospital","Bull Akron City Hosp",NA
"0016-5913","Bulletin - Geisinger Medical Center","Bull Geisinger",NA
"0002-4708","The Journal of the Albert Einstein Medical Center, Philadelphia","J Albert Einstein Med Cent (Phila)",NA
"0004-6620","Archives de l'Institut Pasteur hellenique","Arch Inst Pasteur Hell",NA
"0365-3056","Acta - Unio Internationalis Contra Cancrum","Acta Unio Int Contra Cancrum",NA
"0301-3626","Anales del Hospital de la Santa Cruz y San Pablo","An Hosp St Cruz San Pablo",NA
"0018-1404","Hifuka no rinsho. Rinsho derma (Tokyo)","Hifuka No Rinsho",NA
"0323-8393","Monatsschrift fur Tuberkulosebekampfung","Monatsschr Tuberkulosebekampf",NA
"0019-5863","The Indian medical gazette","Ind Med Gaz",NA
"0584-9829","Bulletin. Srpska akademija nauka i umetnosti. Odeljenje medicinskih nauka","Bull Acad Serbe Sci Arts",NA
"0465-5036","Medizinische Dokumentation","Med Dok",NA
"0025-7893","Medicina psicosomatica","Med Psicosom",NA
"0461-6367","El Medico","Medico",NA
"0021-7913","Journal de medecine et de chirurgie pratiques","J Med Chir Prat",NA
"0017-6036","Gyogyszereszet","Gyogyszereszet",NA
"0016-8106","Georgetown medical bulletin","Georgetown Med Bull",NA
"0034-7000","Revista argentina de cardiologia","Rev Argent Cardiol",NA
"1850-3748","Revista argentina de cardiologia","Rev Argent Cardiol",NA
"0031-7152","Pharmindex","Pharmindex",NA
"0042-1308","Uspekhi khimii","Usp Khim",NA
"0506-0206","Voprosy meditsinskof virusologii","Vopr Med Virusol",NA
"0012-0413","Deutsche Lebensmittel-Rundschau : Zeitschrift fur Lebensmittelkunde und Lebensmittelrecht","Dtsch Lebensmitt Rundsch",0.136
"0014-0082","Erfahrungsheilkunde","Erfahrungsheilkunde",NA
"0003-4444","Les Annales homeopathiques francaises","Ann Homeopath Fr",NA
"0432-3726","FPRC [reports]. Great Britain. Flying Personnel Research Committee","Fprc",NA
"0514-2687","Zeitschrift fur medizinische Isotopenforschung und deren Grenzgebiete","Z Med Isotopenforsch Deren Grenzgeb",NA
"0513-8728","Zdravookhranenie","Zdravookhranenie",NA
"0372-8277","Zdravookhranenie Kazakhstana","Zdravookhranenie Kazakhstana",NA
"0513-8736","Zdravookhranenie Turkmenistana","Zdravookhr Turkmenistana",NA
"0372-8005","Zahnarztliche Welt","Zahnarztl Welt",NA
"0324-1211","Voenno meditsinsko delo","Voen Med Delo",NA
"0042-658X","Virginia journal of science","Va J Sci",NA
"0042-2215","Vakblad voor biologen","Vakbl Biol",NA
"0500-7208","Urologia polska","Urol Pol",NA
"0543-2898","Medical technicians bulletin","Med Techn Bull",NA
"0324-4326","Tuberkulozis","Tuberkulozis",NA
"0493-8798","Triangulo","Triangulo Rev Sandoz Cienc Med",NA
"0493-3079","Timisoara medicala","Timisoara Med",NA
"0563-4458","Theorie und Praxis der Korperkultur","Theor Prax Korperkult",NA
"0040-358X","Teorie a praxe telesne vychovy a sportu","Teor Prax Teles Vychovy",NA
"0040-3601","Teoriia i praktika fizicheskoi kul'tury","Teor Prak Fiz Kult",NA
"0735-7338","The Journal of the Tennessee State Medical Association. Tennessee State Medical Association","J Tn State Med Assoc",NA
"0494-4712","Taehan Naekwa Hakhoe chapchi = The Korean journal of internal medicine","Taehan Naekwa Hakhoe Chapchi",NA
"1226-0053","[Chapchi] Journal. Taehan Oekwa Hakhoe","Taehan Oekwa Hakhoe Chapchi",NA
"0085-7041","Sydney University medical journal","Sydn Univ Med J",NA
"0491-6514","Sveikatos apsauga","Sveikatos Apsauga",NA
"0371-1900","[Sogo rinsho] Clinic all-round","Sogo Rinsho",NA
"0559-7714","Shendetesia popullore","Shendet Pop",NA
"0370-9531","[Seitai no kagaku] [Science of the living body]","Seitai Kagaku",NA
"0096-6843","Sea View Hospital bulletin","Sea View Hosp Bull",NA
"1421-5659","Schweizerische Zeitschrift fur Tuberkulose. Revue suisse de la tuberculose. Rivista svizzera della tubercolosi","Schweiz Z Tuberk",NA
"0371-4985","Schweizerische Zeitschrift fur Tuberkulose und Pneumonologie. Revue suisse de la tuberculose et de pneumonologie. Rivista svizzera della tubercolosi e della pneumonologia","Schweiz Z Tuberc Pneumonol",NA
"0558-471X","[Sanfujinka chiryo] Obstetrical and gynecological therapy","Sanfujinka Chiryo",NA
"0370-8446","[Sanfujinka no shinpo] Advances in obstetrics and gynecology","Sanfujinka No Shinpo",NA
"1347-6742","[Sanfujinka no shinpo] Advances in obstetrics and gynecology","Sanfujinka No Shinpo",NA
"0370-8721","Le Sang","Sang",NA
"0370-5994","Rontgen- und Laboratoriumspraxis","Rontgen Laborator",NA
"0035-7014","Rivista pediatrica siciliana","Riv Pediatr Sicil",NA
"0370-4602","Revue de la tuberculose","Rev Tuberc",NA
"0370-4386","Revue d'hematologie","Rev Hematol",NA
"0484-8268","Revista uruguaya de psicoanalisis","Rev Urug Psicoanal",NA
"1688-7247","Revista uruguaya de psicoanalisis","Rev Urug Psicoanal",NA
"0484-811X","Revista portuguesa de farmacia","Rev Port Farm",NA
"0366-3140","Boletin. Sociedad Chilena de Obstetricia y Ginecologia","Bol Soc Chil Obstet Ginecol",NA
"0096-2929","The Review of gastroenterology","Rev Gastroenterol",NA
"0096-2910","Research today","Res Today",NA
"0025-0287","Magyar radiologia","Magy Radiol",NA
"1080-5052","Quarterly review of medicine","Q Rev Med",NA
"0885-7830","Psychoanalysis and the psychoanalytic review","Psychoanal Psychoanal Rev",NA
"0755-2130","La Provence medicale","Prov Med",NA
"0555-2621","Problems of virology","Probl Virol",NA
"0551-1038","Plzensky lekarsky sbornik","Plzen Lek Sb",NA
"0553-9323","Le Pharmacien biologiste","Pharm Biol (1956)",NA
"0031-6938","Pharmacien de France","Pharm Fr",NA
"0369-9471","Pharmaceutical bulletin","Pharm Bull",NA
"1881-1345","Pharmaceutical bulletin","Pharm Bull",NA
"0099-8893","Permanente Foundation medical bulletin","Perm Found Med Bull",NA
"0369-8300","Paris medical","Paris Med",NA
"0479-1428","Paediatria Japonica","Paediatr Jpn",NA
"0030-7661","Oxford Medical School gazette","Oxf Med Sch Gaz",NA
"0030-3968","The Optician","Optician",NA
"0030-2821","[Onsen kagaku] Journal of the Balneological Society of Japan","Onsen Kagaku",NA
"0474-0238","Bulletin. Okayama Daigaku. Igakubu. Gangen Kenkyu Shisetsu","Bull Cancer Inst Okayama Univ Med Sch",NA
"2160-2247","Occupational therapy and rehabilitation","Occup Ther Rehabil",NA
"0467-1066","Neuropsychiatry","Neuropsychiatry",NA
"0369-3805","Nepegeszsegugy","Nepegeszseguegy",NA
"0096-6290","Transactions of the annual meeting. National Tuberculosis Association","Trans Annu Meet Natl Tuberc Assoc",NA
"0369-1519","Monatsschrift fur Psychiatrie und Neurologie","Monatsschr Psychiatr Neurol",NA
"0540-6234","Monatskurse fur die arztliche Fortbildung. Bildbeilage; Farbige Medizin","Monatskurse Arztl Fortbild Bildbeil",NA
"0096-6827","Military surgeon","Mil Surg",NA
"0018-5760","Boletin. Mexico City (Mexico). Hospital Oftalmologico de Nuestra Senora de la Luz","Bol Hosp Oftalmol",NA
"0266-982X","Medicine illustrated","Med Illus",NA
"0368-931X","La Medicina colonial","Med Colon",NA
"0096-6819","Medical woman's journal","Med Womans J",NA
"0460-2390","M & B pharmaceutical bulletin","M B Pharm Bull",NA
"0024-0745","Lekarz wojskowy","Lek Wojsk",NA
"0137-7671","Kultura fizyczna","Kult Fiz",NA
"0096-5219","Bulletin. Kresge Eye Institute","Bull Kresge Eye Inst",NA
"0022-7226","[Zasshi] Journal. Kanazawa Daigaku. Igakubu. Juzen Igakkai","Zasshi Kanazawa Daigaku Igakubu Juzen Igakkai",NA
"0096-5588","The Journal of thoracic surgery","J Thorac Surg",NA
"0096-7025","The Journal of venereal disease information","J Vener Dis Inf",NA
"0447-9122","Journal of clinical and experimental psychopathology & quarterly review of psychiatry and neurology","J Clin Exp Psychopathol Q Rev Psychiatry Neurol",NA
"0095-9901","The Journal of biophysical and biochemical cytology","J Biophys Biochem Cytol",NA
"0096-6983","Journal. Iowa State Medical Society","J Iowa State Med Soc",NA
"0445-7684","The Indian journal of child health","Indian J Child Health",NA
"0437-8849","Horizons medicaux","Horiz Med",NA
"0133-879X","Honvedorvos","Honvedorvos",NA
"0006-5528","[Boei eisei] Japanese Defense Forces medical journal","Boei Eisei",NA
"0018-1390","[Hifu] Skin research","Hifu",NA
"0367-4800","Glasgow medical journal","Glasgow Med J",NA
"0016-2582","[Fukushima igaku zasshi] Fukushima medical journal","Fukushima Igaku Zasshi",NA
"0014-8172","Farmaceuticky obzor","Farm Obz",NA
"0367-2689","Farmacia nueva","Farm Nueva",NA
"0013-7243","Endocrinologia y terapeutica","Endocr Terap",NA
"1423-2294","Documenta rheumatologica. [Deutsche Ausg.]","Doc Rheumatol",NA
"0096-0195","Dental items of interest","Dent Items Interest",NA
"0010-9207","Il Corriere dei farmacisti","Corr Farm",NA
"0414-3825","Conferences lyonnaises d'ophtalmologie","Conf Lyon Ophtalmol",NA
"0412-8877","Arquivos. Coimbra. Universidade. Instituto de Farmacologia e Terapeutica Experimental","Arq Inst Farm",NA
"0009-7314","Circular farmaceutica","Circ Farm",NA
"1680-8029","[Choson uihak] [Korean medicine]","Choson Uihak",NA
"0022-5207","[Chiryo] [Therapy]","Chiryo",NA
"0528-9173","Chekhoslovatskaia biologiia","Chekhoslovatskaia Biol",NA
"0411-6356","Cesra Saule","Cesra Saule",NA
"0366-0613","Boletin de informaciones parasitarias chilenas","Bol Inf Parasit Chil",NA
"0005-3155","Bios","Bios",NA
"0354-1169","Glasnik. Belgrad. Higijenski institut NR Srbije","Glas Belgrad Hig Inst NR Srb",NA
"0365-365X","Australian journal of scientific research. Ser. B: Biological sciences","Aust J Sci Res B",NA
"0045-0642","The Australian journal of optometry","Aust J Optom",NA
"0571-8198","Atompraxis","Atompraxis",NA
"0403-9440","L'Attualita dietetica","Attual Diet",NA
"0375-8591","Arhiv za higijenu rada","Arh Hig Rada",NA
"0004-0568","Archivos de medicina experimental; trabajos del Instituto Nacional de Ciencias Medicas","Arch Med Exp",NA
"0390-7376","Archivio di tisiologia","Arch Tisiol",NA
"0570-3107","Antibiotic medicine & clinical therapy (New York, NY)","Antibiotic Med Clin Ther (New York)",NA
"0570-3131","Antibiotics annual","Antibiot Annu",NA
"0099-8125","Current researches in anesthesia & analgesia","Curr Res Anesth Analg",NA
"2380-8934","Current researches in anesthesia & analgesia","Curr Res Anesth Analg",NA
"0325-545X","Anales Nestle","An Nestle (B Aires)",NA
"0517-6794","Anales de farmacia hospitalaria","An Farm Hosp (Madr)",NA
"0096-820X","American Industrial Hygiene Association quarterly","Am Ind Hyg Assoc Q",NA
"0568-2215","Aggiornamenti di fisiologia","Aggiorn Fisiol",NA
"0568-0549","Aeromedica acta","Aeromed Acta",NA
"0095-991X","The Journal of aviation medicine","J Aviat Med",NA
"0365-7965","Actualidad medica","Actual Medica",NA
"0065-1486","Acta pathologica et microbiologica Scandinavica. Supplementum","Acta Pathol Microbiol Scand Suppl (1926)",NA
"0365-3285","Acta medica Italica di malattie infettive e parassitarie","Acta Med Ital Mal Infett Parassit",NA
"0400-4000","Acta endocrinologica Iberica","Acta Endocrinol Iber",NA
"0515-2917","Acta medica","Acta Medica Cordoba",NA
"2374-2941","A.M.A. American journal of diseases of children","AMA Am J Dis Child",NA
"2374-2968","A.M.A. American journal of diseases of children","AMA Am J Dis Child",NA
"0096-5979","A.M.A. archives of dermatology and syphilology","AMA Arch Derm Syphilol",NA
"0567-3933","A.M.A. archives of industrial health","AMA Arch Ind Health",NA
"0096-6886","A.M.A. archives of neurology and psychiatry","AMA Arch Neurol Psychiatry",NA
"0096-6711","A.M.A. archives of pathology","AMA Arch Pathol",NA
"0096-6908","A.M.A. archives of surgery","AMA Arch Surg",NA
"0415-3987","Meddelelser fra Sundhedsstyrelsen. Denmark. Sundhedsstyrelsen. Beredskabsafdelingen","Medd Sundhedsstyr Beredskabsafdelingen",NA
"1131-1940","Gaceta medica del Norte","Gac Med Norte",NA
"0376-0227","Antibiotica et chemotherapia. Fortschritte. Advances. Progres","Antibiot Chemother",NA
"0365-513X","Acta neurovegetativa. Supplementum","Acta Neuroveg Suppl",NA
"0386-9857","Rinsho geka. Journal of clinical surgery","Rinsho Geka",NA
"0366-5313","Cardiologia","Cardiologia (Basel)",NA
"0034-9763","Revista latinoamericana de anatomia patologica","Rev Latinoam Anat Patol",NA
"0044-507X","Zoologica; scientific contributions of the New York Zoological Society","Zool Sci Contrib N Y Zool Soc",NA
"0480-2780","Bulletin of the Philadelphia Association for Psychoanalysis","Bull Phila Assoc Psychoanal",NA
"0401-3255","Clinical reports","Clin Rep",NA
"0034-7299","Revista brasileira de oto-rino-laringologia","Rev Bras Otorrinolaringol",NA
"1806-9312","Revista brasileira de oto-rino-laringologia","Rev Bras Otorrinolaringol",NA
"0065-096X","Acta allergologica. Supplementum","Acta Allergol Suppl (Copenh)",NA
"0397-9172","Le Medecin de reserve","Med Reserve (Paris)",NA
"0025-0066","Magyar belorvosi archivum","Magy Belorv Arch",NA
"0519-2854","Deltion tes Paidiatrikes Klinikes tou Panepistemiou Athenon","Delt Paidiatr Klin Panepistem Athenon",NA
"0025-0325","Magyar tudomany : [a Magyar Tudomanyos Akademia Ertesitoje]","Magy Tud",NA
"0044-5290","Zooprofilassi","Zooprofilassi",NA
"0044-0558","Yonago igaku zasshi. The Journal of the Yonago Medical Association","Yonago Igaku Zasshi",NA
"0391-5603","Urologia","Urologia",NA
"1724-6075","Urologia","Urologia",NA
"0130-7371","Uspekhi biologicheskoi khimii","Usp Biol Khim",NA
"0971-3492","Samiksa","Samiksa",NA
"0002-4848","Alberta medical bulletin","Alberta Med Bull",NA
"0433-2253","Gazzetta degli ospedali e delle cliniche","Gazz Osp Clin",NA
"0093-3724","The Grace Hospital bulletin","Grace Hosp Bul",NA
"0021-6585","The Jewish Memorial Hospital bulletin","Jew Mem Hosp Bull",NA
"0029-0440","Niigata Igakkai zasshi. Niigata medical journal","Niigata Igakkai Zasshi",NA
"0483-9811","Rassegna italiana di gastro-enterologia","Rass Ital Gastroenterol",NA
"0034-1843","Recueil de medecine veterinaire","Rec Med Vet Ec Alfort",NA
"0370-5579","Rinsho ganka. Japanese journal of clinical ophthalmology","Rinsho Ganka",NA
"1882-1308","Rinsho ganka. Japanese journal of clinical ophthalmology","Rinsho Ganka",NA
"0040-8700","Tohoku igaku zasshi","Tohoku Igaku Zasshi",NA
"0423-121X","Enfermedades del torax","Enferm Torax",NA
"0030-9834","Pakistan journal of health","Pak J Health",NA
"0031-0549","Pammatone","Pammatone",NA
"0479-7221","Pawlow-Zeitschrift fur hohere Nerventatigkeit. Deutsche Ausg","Pawlow Z Hohere Nerventatigkeit",NA
"1343-2826","Kita Kanto igaku. Kitakanto medical journal","Kita Kanto Igaku",NA
"1881-1191","Kita Kanto igaku. Kitakanto medical journal","Kita Kanto Igaku",NA
"0465-546X","Medicina y seguridad del trabajo","Med Segur Trab (Madr)",NA
"1989-7790","Medicina y seguridad del trabajo","Med Segur Trab (Madr)",NA
"0433-6445","Journal of the Germantown Hospital","J Germantown Hosp",NA
"0301-8342","Archivos argentinos de tisiologia","Arch Argent Tisiol",NA
"0302-6051","Vestnik venerologii i dermatologii","Vestn Venerol Dermatol",NA
"0030-4093","The Optometric weekly","Optom Wkly",NA
"0301-5130","Archivos venezolanos de medicina tropical y parasitologia medica","Arch Venez Med Trop Parasitol Med",NA
"0039-8101","Szemeszet","Szemeszet",NA
"0038-4275","Southern journal of optometry","South J Optom",NA
"0028-968X","Nicaragua medica","Nicar Med",NA
"0035-1709","Revue de psychologie appliquee","Rev Psychol Appl",NA
"0482-7171","Revista portuguesa de medicina militar","Rev Port Med Mil",NA
"0035-6069","Rivista di chirurgia pediatrica","Riv Chir Pediatr",NA
"0036-2581","Le Saguenay medical","Saguenay Med",NA
"0033-4340","The Punjab medical journal","Punjab Med J",NA
"0034-7523","Revista cubana de medicina","Rev Cubana Med",NA
"0325-6391","Revista de medicina veterinaria","Rev Med Vet (B Aires)",NA
"0034-8740","Revista de psicoanalisis","Rev Psicoanal",NA
"0482-6019","Revista de psiquiatria y psicologia medica de Europa y America latinas","Rev Psiquiatr Psicol Med Eur Am Lat",NA
"0001-950X","Die Arztliche Fortbildung","Arztl Fortbild",NA
"0574-7791","Current studies on the nature of brain function","Curr Stud Nat Brain Funct",NA
"0301-8989","Duodecim; laaketieteellinen aikakauskirja. Supplementum","Duodecim Suppl",NA
"0481-6692","Radiologia pratica","Radiol Prat",NA
"0031-7608","Philippine journal of cancer","Philipp J Cancer",NA
"0018-5698","Hospital general","Hosp Gen (Madr)",NA
"0014-8326","Farmakoterapi","Farmakoterapi",NA
"0025-5238","Materia medica Nordmark","Mater Med Nordmark",NA
"0025-7648","Medicamenta","Medicamenta (Madr)",NA
"0397-9229","Monde medical","Monde Med",NA
"0402-4710","Annali medici di Sondalo","Ann Med Sondalo",NA
"0017-9639","Die Heilkunst","Heilkunst",NA
"0450-4178","Der Knappschaftsarzt","Knappschaftsarzt",NA
"0304-4866","Galicia-clinica","Galicia Clin",NA
"1989-3922","Galicia-clinica","Galicia Clin",NA
"0461-6375","O Medico; semanario de assuntos medicos e paramedicos","Medico (Porto)",NA
"0023-1878","Kiserletes orvostudomany","Kiserl Orvostud",NA
"0013-0524","Economie et medecine animales","Econ Med Anim",NA
"0001-6063","Acta medica Patavina","Acta Med Patav",NA
"0007-0556","British Columbia medical journal","B C Med J",NA
"0026-8070","Modern medicine","Mod Med",NA
"0077-0140","Modern trends in human reproductive physiology","Mod Trends Hum Reprod Physiol",NA
"0013-2268","Egeszsegtudomany","Egeszsegtudomany",NA
"0025-8490","Der Medizinische Sachverstandige","Med Sachverstand",NA
"0009-9082","La Clinica veterinaria","Clin Vet (Milano)",NA
"0016-237X","Ful-, orr-, gegegyogyazat","Fulorrgegegyogyaszat",NA
"0485-2419","Rivista di psicologia della scrittura","Riv Psicol Scr",NA
"0014-8202","Farmaceutski glasnik","Farm Glas",NA
"0014-8229","Farmacevtski vestnik","Farm Vestn",NA
"0004-1963","Arhiv za farmaciju","Arh Farm (Belgr)",NA
"2217-8767","Arhiv za farmaciju","Arh Farm (Belgr)",NA
"0007-6295","Burma medical journal","Burma Med J",NA
"0010-0366","Coimbra medica","Coimbra Med",NA
"0007-9944","Les Cahiers de medecine veterinaire","Cah Med Vet",NA
"0365-6268","Arquivos de oncologia","Arq Oncol",NA
"0012-1762","El Dia medico","Dia Med",NA
"0012-6527","Drug and cosmetic industry","Drug Cosmet Ind",NA
"0013-7545","Enfance; psychologie, pedagogie, neuropsychiatrie, sociologie","Enfance",NA
"0017-047X","Giornale italiano di patologia e di scienze affini","G Ital Patol",NA
"0001-9534","Aerztliche Praxis","Arztl Prax",NA
"0002-5887","Allgemeine homoopathische Zeitung fur wissenschaftliche und praktische Homoopathie","Allg Homoopath Ztg",NA
"0517-7146","Anatomia e chirurgia","Anat Chir",NA
"0365-5504","Acta paediatrica Latina","Acta Paediatr Lat",NA
"0015-5519","Folia clinica et biologica","Folia Clin Biol (Sao Paulo)",NA
"0300-5445","Bulletin officiel. Chambre syndicale des medecins de la Seine","Bull Off Chambre Synd Med Seine",NA
"0066-6378","Archiv fur Kinderheilkunde. Beihefte","Arch Kinderheilkd Suppl",NA
"0007-9936","Cahiers de medecine interprofessionnelle","Cah Med Inter Prof",NA
"2117-5071","Cahiers de medecine interprofessionnelle","Cah Med Inter Prof",NA
"0019-5472","The Indian journal of pharmacy","Indian J Pharm",NA
"0034-3528","Rehabilitation","Rehabilitation",NA
"0365-205X","Anais da Faculdade de Medicina de Porto Alegre","An Fac Med Porto Alegre",NA
"0097-076X","Proceedings. Animal Care Panel (U.S.)","Proc Anim Care Panel",NA
"0006-9205","Brasil-medico","Bras Med",NA
"0516-3927","Alabama dental review","Ala Dent Rev",NA
"0096-5332","Advances in carbohydrate chemistry","Adv Carbohydr Chem",NA
"1875-6425","Advances in carbohydrate chemistry","Adv Carbohydr Chem",NA
"0366-0486","Biologicke listy","Biol Listy",NA
"0014-4320","Excerpta medica. Section 28, Urology and nephrology","Excerpta Med (Urol)",NA
"0034-9585","Revista Goiana de medicina","Rev Goiana Med",NA
"0036-3057","Saint-Luc medical. Sint-Lucas tijdschrift","St Luc Med",NA
"0014-424X","Excerpta medica. Section 20, Gerontology and geriatrics","Excerpta Medica 20 Gerontol Geriatr",NA
"0014-4169","Excerpta medica. Section 12, Ophthalmology","Excerpta Med (Ophthalmol)",NA
"0014-4177","Excerpta medica. Section 13, Dermatology and venereology","Excerpta Med (Dermatol)",NA
"0426-0627","Feuillets du praticien","Feuill Prat",NA
"1049-8885","The Journal of periodontology","J Periodontol (1930)",NA
"0047-2077","Jornal brasileiro de medicina","J Bras Med",NA
"0174-4542","Langenbecks Archiv fur klinische Chirurgie ... vereinigt mit Deutsche Zeitschrift fur Chirurgie","Langenbecks Arch Klin Chir Ver Dtsch Z Chir",NA
"0546-8655","Novosti meditsinskoi tekhniki","Nov Med Tekh (1959)",NA
"0513-1812","The Bulletin of the Yamaguchi Medical School","Bull Yamaguchi Med Sch",NA
"0035-2896","Revue francaise de gerontologie","Rev Fr Gerontol",NA
"0095-9898","Journal of cellular and comparative physiology","J Cell Comp Physiol",NA
"0452-9839","Kiyo. [Reports]. Kyoto Daigaku. Kekkaku Kenkyujo","Kyoto Daigaku Kekkaku Kenkyusho Kiyo",NA
"0016-450X","Gan","Gan",NA
"0366-7170","Chemotherapia","Chemotherapia (Basel)",NA
"0459-3383","Lietuvos TSR aukstuju mokyklu mokslo darbai: Biologija","Liet Tsr Aukst Mokyklu Mokslo Darb",NA
"0022-443X","Rodo kagaku. The Journal of science of labour","Rodo Kagaku",NA
"0366-4872","Bulletin de microscopie appliquee","Bull Micr Appl",NA
"0033-8338","Radiologia","Radiologia",NA
"1578-178X","Radiologia","Radiologia",NA
"0368-0150","Israel medical journal","Isr Med J",NA
"0001-6144","Acta medica Vietnamica","Acta Med Vietnam",NA
"0042-4854","The Veterinary bulletin","Vet Bull",NA
"0021-7514","Jornal brasileiro de neurologia","J Bras Neurol",NA
"0038-7673","Spitalul","Spitalul",NA
"0016-3368","Fysiatricky vestnik. Ceskoslovenska fysiatricka spolecnost v Praze","Fysiatr Vestn Cesk Fysiatr Spol",NA
"0048-5128","Der Praktische Arzt","Prakt Arzt",NA
"0437-4495","Higiene","Higiene",NA
"0515-3700","Actualites pharmaceutiques","Actual Pharm",NA
"2352-7978","Actualites pharmaceutiques","Actual Pharm",NA
"0368-4229","Journal of scientific & industrial research. C, Biological sciences","J Sci Ind Res (C)",NA
"0920-6078","Tijdschrift Voor Tandheelkunde","Tijdschr Tandheelkd",NA
"0036-8709","Scientia pharmaceutica","Sci Pharm",NA
"2218-0532","Scientia pharmaceutica","Sci Pharm",NA
"0025-021X","Magyar noorvosok lapja","Magy Noorv Lapja",NA
"0099-815X","The Lahey Clinic bulletin","Lahey Clin Bull",NA
"0096-851X","Journal of abnormal and social psychology","J Abnorm Soc Psychol",NA
"0017-6621","The Hahnemannian","Hahnemannian",NA
"0365-0642","Annals of biochemistry and experimental medicine","Ann Biochem Exp Med",NA
"0044-4286","Zentralblatt fur Verkehrs-Medizin, Verkehrs-Psychologie, Luft- und Raumfahrt-Medizin","Zentralbl Verkehrsmed Verkehrspsychol Luft Raumfahrtmed",NA
"0888-2479","A.M.A. archives of internal medicine","AMA Arch Intern Med",NA
"0096-6894","A.M.A. archives of otolaryngology","AMA Arch Otolaryngol",NA
"0365-2858","Acta hepatologica","Act Hepato",NA
"0399-0494","Annales. Societe francaise d'angeiologie et d'histopathologie","Ann Soc Angeiol Histopathologie",NA
"0035-4376","Les Revues medicales normandes","Rev Med Normandes",NA
"0376-2602","Stanford medical bulletin","Stanford Med Bull",NA
"1048-9614","Bulletin of the School of Medicine (Baltimore, Md.)","Bull Sch Med Univ Md",NA
"0558-2385","St. Vincent's Hospital medical bulletin","ST Vincents Hosp Med Bull",NA
"0096-6339","A.M.A. archives of ophthalmology","AMA Arch Ophthalmol",NA
